TX, TY, BX, BY, DX, DY, UNROLL, Mcells/s
32,8,32,8,32,8,1,1459.20
32,8,32,8,32,8,2,1524.72
32,8,32,8,32,8,3,1459.88
32,8,32,8,32,8,4,1409.45
32,8,32,8,32,8,5,1217.55
32,8,32,8,32,8,6,1165.55
32,8,32,8,32,8,7,1174.60
32,8,32,8,32,8,8,1036.91
32,8,32,8,32,8,9,1022.13
32,8,32,16,32,8,1,1587.03
32,8,32,16,32,8,2,1484.88
32,8,32,16,32,8,3,1533.82
32,8,32,16,32,8,4,1357.25
32,8,32,16,32,8,5,1246.17
32,8,32,16,32,8,6,1369.89
32,8,32,16,32,8,7,1360.51
32,8,32,16,32,8,8,1337.68
32,8,32,16,32,8,9,1316.78
32,8,32,24,32,8,1,1571.14
32,8,32,24,32,8,2,1561.41
32,8,32,24,32,8,3,1492.10
32,8,32,24,32,8,4,1498.28
32,8,32,24,32,8,5,1521.29
32,8,32,24,32,8,6,1525.73
32,8,32,24,32,8,7,1526.43
32,8,32,24,32,8,8,1463.38
32,8,32,24,32,8,9,1056.21
32,8,32,32,32,8,1,1627.57
32,8,32,32,32,8,2,1520.80
32,8,32,32,32,8,3,1543.32
32,8,32,32,32,8,4,1542.42
32,8,32,32,32,8,5,1539.01
32,8,32,32,32,8,6,1537.81
32,8,32,32,32,8,7,1141.93
32,8,32,32,32,8,8,1141.45
32,8,32,32,32,8,9,1135.76
32,8,32,40,32,8,1,1547.44
32,8,32,40,32,8,2,1549.66
32,8,32,40,32,8,3,1540.48
32,8,32,40,32,8,4,1548.55
32,8,32,40,32,8,5,1530.49
32,8,32,40,32,8,6,1208.81
32,8,32,40,32,8,7,1186.46
32,8,32,40,32,8,8,1182.21
32,8,32,40,32,8,9,1187.39
32,8,64,8,32,8,1,1582.54
32,8,64,8,32,8,2,1431.48
32,8,64,8,32,8,3,1472.11
32,8,64,8,32,8,4,1391.59
32,8,64,8,32,8,5,1492.27
32,8,64,8,32,8,6,1334.62
32,8,64,8,32,8,7,1319.81
32,8,64,8,32,8,8,1057.34
32,8,64,8,32,8,9,1417.55
32,8,64,16,32,8,1,1586.81
32,8,64,16,32,8,2,1474.87
32,8,64,16,32,8,3,1569.03
32,8,64,16,32,8,4,1568.62
32,8,64,16,32,8,5,1436.10
32,8,64,16,32,8,6,1419.81
32,8,64,16,32,8,7,1304.04
32,8,64,16,32,8,8,1302.26
32,8,64,16,32,8,9,1300.54
32,8,64,24,32,8,1,1629.34
32,8,64,24,32,8,2,1338.63
32,8,64,24,32,8,3,1619.22
32,8,64,24,32,8,4,1531.74
32,8,64,24,32,8,5,1544.99
32,8,64,24,32,8,6,1527.01
32,8,64,24,32,8,7,1489.11
32,8,64,24,32,8,8,1356.35
32,8,64,24,32,8,9,1351.82
32,8,64,32,32,8,1,1648.94
32,8,64,32,32,8,2,1609.67
32,8,64,32,32,8,3,1572.10
32,8,64,32,32,8,4,1604.09
32,8,64,32,32,8,5,1610.80
32,8,64,32,32,8,6,1321.69
32,8,64,32,32,8,7,1526.36
32,8,64,32,32,8,8,1479.22
32,8,64,32,32,8,9,1399.63
32,8,64,40,32,8,1,1600.85
32,8,64,40,32,8,2,1641.71
32,8,64,40,32,8,3,1646.91
32,8,64,40,32,8,4,1648.18
32,8,64,40,32,8,5,1237.01
32,8,64,40,32,8,6,1563.40
32,8,64,40,32,8,7,1480.73
32,8,64,40,32,8,8,1329.66
32,8,64,40,32,8,9,1184.94
32,8,96,8,32,8,1,1543.98
32,8,96,8,32,8,2,1458.49
32,8,96,8,32,8,3,1547.11
32,8,96,8,32,8,4,1376.50
32,8,96,8,32,8,5,1432.02
32,8,96,8,32,8,6,1264.91
32,8,96,8,32,8,7,1531.92
32,8,96,8,32,8,8,1503.83
32,8,96,8,32,8,9,1498.37
32,8,96,16,32,8,1,1494.07
32,8,96,16,32,8,2,1600.42
32,8,96,16,32,8,3,1628.05
32,8,96,16,32,8,4,1585.89
32,8,96,16,32,8,5,1414.19
32,8,96,16,32,8,6,1410.21
32,8,96,16,32,8,7,1365.47
32,8,96,16,32,8,8,1288.90
32,8,96,16,32,8,9,1216.82
32,8,96,24,32,8,1,1653.38
32,8,96,24,32,8,2,1599.72
32,8,96,24,32,8,3,1560.46
32,8,96,24,32,8,4,1537.24
32,8,96,24,32,8,5,1462.49
32,8,96,24,32,8,6,1281.63
32,8,96,24,32,8,7,1502.41
32,8,96,24,32,8,8,1399.85
32,8,96,24,32,8,9,1299.32
32,8,96,32,32,8,1,1631.45
32,8,96,32,32,8,2,1609.96
32,8,96,32,32,8,3,1498.76
32,8,96,32,32,8,4,1504.98
32,8,96,32,32,8,5,1413.75
32,8,96,32,32,8,6,1490.73
32,8,96,32,32,8,7,1307.89
32,8,96,32,32,8,8,1120.03
32,8,96,32,32,8,9,983.03
32,8,96,40,32,8,1,1337.61
32,8,96,40,32,8,2,1689.31
32,8,96,40,32,8,3,1301.21
32,8,96,40,32,8,4,1202.10
32,8,96,40,32,8,5,1479.64
32,8,96,40,32,8,6,1233.36
32,8,96,40,32,8,7,1027.07
32,8,96,40,32,8,8,907.53
32,8,96,40,32,8,9,870.39
32,8,128,8,32,8,1,1511.26
32,8,128,8,32,8,2,1635.85
32,8,128,8,32,8,3,1552.75
32,8,128,8,32,8,4,1554.98
32,8,128,8,32,8,5,1400.49
32,8,128,8,32,8,6,1589.53
32,8,128,8,32,8,7,1584.83
32,8,128,8,32,8,8,1583.00
32,8,128,8,32,8,9,1590.59
32,8,128,16,32,8,1,1596.79
32,8,128,16,32,8,2,1613.46
32,8,128,16,32,8,3,1533.94
32,8,128,16,32,8,4,1521.99
32,8,128,16,32,8,5,1450.33
32,8,128,16,32,8,6,1337.72
32,8,128,16,32,8,7,1520.57
32,8,128,16,32,8,8,1475.13
32,8,128,16,32,8,9,1403.52
32,8,128,24,32,8,1,1647.65
32,8,128,24,32,8,2,1630.29
32,8,128,24,32,8,3,1552.62
32,8,128,24,32,8,4,1509.98
32,8,128,24,32,8,5,1420.94
32,8,128,24,32,8,6,1594.97
32,8,128,24,32,8,7,1427.32
32,8,128,24,32,8,8,1205.02
32,8,128,24,32,8,9,1032.31
32,8,128,32,32,8,1,1707.34
32,8,128,32,32,8,2,1714.15
32,8,128,32,32,8,3,1715.49
32,8,128,32,32,8,4,1665.93
32,8,128,32,32,8,5,1495.91
32,8,128,32,32,8,6,1211.90
32,8,128,32,32,8,7,1007.24
32,8,128,32,32,8,8,911.47
32,8,128,32,32,8,9,880.89
32,8,128,40,32,8,1,1690.53
32,8,128,40,32,8,2,1695.36
32,8,128,40,32,8,3,1672.98
32,8,128,40,32,8,5,1116.18
32,8,128,40,32,8,6,908.99
32,8,160,8,32,8,1,1293.27
32,8,160,8,32,8,2,1552.03
32,8,160,8,32,8,3,1510.69
32,8,160,8,32,8,4,1507.59
32,8,160,8,32,8,5,1540.56
32,8,160,8,32,8,6,1552.89
32,8,160,8,32,8,7,1494.73
32,8,160,8,32,8,8,1489.12
32,8,160,8,32,8,9,1425.01
32,8,160,16,32,8,1,1499.73
32,8,160,16,32,8,2,1461.87
32,8,160,16,32,8,3,1483.90
32,8,160,16,32,8,4,1404.19
32,8,160,16,32,8,5,1536.71
32,8,160,16,32,8,6,1517.97
32,8,160,16,32,8,7,1471.23
32,8,160,16,32,8,8,1373.95
32,8,160,16,32,8,9,1240.39
32,8,160,24,32,8,1,1500.31
32,8,160,24,32,8,2,1669.78
32,8,160,24,32,8,3,1668.66
32,8,160,24,32,8,4,1633.68
32,8,160,24,32,8,5,1542.98
32,8,160,24,32,8,6,1302.08
32,8,160,24,32,8,7,1070.82
32,8,160,24,32,8,8,928.93
32,8,160,24,32,8,9,871.79
32,8,160,32,32,8,1,1703.89
32,8,160,32,32,8,2,1708.95
32,8,160,32,32,8,3,1675.02
32,8,160,32,32,8,5,1146.86
32,8,160,32,32,8,6,954.36
32,8,160,32,32,8,9,851.70
32,8,160,40,32,8,1,1464.00
